Rank,Product Name,Title,Gravity,Movement,Initial $/Sale,Av $/Sale,Rebill $,First Seen Date
170,UNLOCKHER,Unlock the Scrambler- Get Whitelisted for Up to 100% commission,18.0711,0.5707,$56.21,$78.66,$49.00,2014-06-22
216,COGNICARE,CogniCare Pro - NEW Brain Power,12.5479,0.5605,$123.91,$123.91,$0.00,2024-05-06
28,WEALTHDNA,WealthDNA – One of the Best Offers Leading in Wealth Manifestation,90.2195,0.5535,$44.04,$45.50,$10.77,2022-03-04
373,VIDACALM,VidaCalm - NEW Ear Health Offer,6.2246,0.5451,$138.94,$138.94,$0.00,2023-03-20
411,ANGELCARDS,NEW Angel Card Daily system with AOV you have to see to believe,5.1920,0.5315,$33.18,$240.61,$55.97,2023-03-21
116,AMYLGUARD,Amyl Guard - Brand New & Unique Weightloss Carb Blocker!,25.2668,0.5298,$119.42,$122.72,$2.91,2021-02-17
49,ALEXPFS,Pelvic Floor Strong,56.3338,0.5216,$64.81,$68.71,$16.37,2020-04-22
199,POWERBITE,"PowerBite - One Of a Kind ""Thermal"" Mineral For Your Teeth",14.4948,0.5194,$127.32,$127.32,$0.00,2023-05-25
261,CARBOFIX,CarboFix,10.2098,0.4916,$109.02,$109.02,$0.00,2020-07-07
235,BIORHYTHM,S T O P - Forget All About Manifestation And Numerology...,11.1550,0.4887,$32.24,$285.63,$40.96,2019-09-24
150,NERVOGEN,Nervogen ($600+ Max Cart Value) - Nerve Pain Is A Massive Market,20.7216,0.4685,$125.22,$125.22,$0.00,2020-11-20
44,GLUCOBERRY,GlucoBerry - BRAND NEW Blood Sugar Offer!!,59.2987,0.4460,$146.40,$159.94,$93.39,2022-08-15
42,PRONAILCOM,ProNail Complex $4 EPC On Unique Antifungal Mist Spray,62.7857,0.3785,$120.37,$120.37,$0.00,2023-12-11
193,DVNLOCKS,DivineLocks- New High Converting Hair Offer,15.0157,0.3512,$79.39,$79.39,$0.00,2021-01-15
306,DOGGYD4N,The Dog Calming Code™ from Doggy Dan @ The Online Dog Trainer,8.1994,0.3506,$34.01,$65.72,$23.77,2010-07-18
14,TEDSPLANS,TedsWoodworking - Highest Converting Woodworking Site On The Internet!,122.2601,0.3448,$54.45,$54.45,$9.11,2010-04-27
395,FIXFLIPCRE,BUSINESS CREDIT BUILDER - $ Million Business Credit Cards,5.3985,0.2963,$117.81,$117.81,$0.00,2022-02-18
122,WEALTHRTC,Wealth Rhythm - 2024 Wealth Manifestation Offer (High Conversion Rate),23.9348,0.2875,$43.66,$48.61,$7.33,2023-11-17
237,VOLCABURN,VolcaBurn - Red Hot Weight Loss,11.0442,0.2552,$110.09,$110.09,$0.00,2023-07-06
286,FBUDDY,Friends With Benefits - Dating Offer For Men - 100% commissions!,9.0210,0.2470,$46.87,$46.87,$0.00,2020-01-03
352,SHAMBALA99,The Shambala Secret - Updated For You To Make More Money!,6.8185,0.2455,$48.80,$48.80,$0.00,2021-01-25
252,CREFRESH,Collagen Refresh,10.4775,0.2447,$174.70,$174.70,$0.00,2023-03-08
349,SONICKEY,Sonic Key - Brand New Wealth Manifestation Offer for July 2023!,6.8871,0.2343,$37.29,$54.09,$7.02,2023-01-17
219,SSTICK,Manifesting Spiritual Sticks - Brand New LOA & Spirituality Offer Sept,12.4480,0.2198,$58.40,$58.40,$0.00,2021-11-10
99,THEYAVUE,TheyaVue - High Converting Vision Offer,28.8679,0.2167,$113.49,$113.49,$0.00,2022-02-18
335,ZZZDRIP,IGNITE 2.0 - June 2023 Launch,7.3982,0.2130,$107.02,$119.10,$6.48,2022-08-19
8,RENEW,"RENEW - Straight Fire, Son!",208.2800,0.1968,$147.28,$147.37,$6.78,2024-02-16
124,SEPTIFIX,SEPTIFIX - The #1 Septic Tank Treatment in US - Huge Niche & $$$!,23.5416,0.1934,$79.15,$79.15,$0.00,2021-08-25
30,PROSTADINE,Prostadine - New Monster In The Prostate Health Niche,83.0509,0.1882,$127.23,$127.23,$0.00,2022-09-16
168,ULTRAK9PRO,UltraK9 Pro - #1 Primal Nutrients For Pet Health,18.3788,0.1646,$167.47,$167.47,$0.00,2022-10-10
36,FLOWFORCE,FlowForce Max - $4 EPC On Unique “Prostate Shrinking Chew Candy”,68.3746,0.1577,$120.89,$120.89,$0.00,2023-07-05
209,ROCKETLANG,Rocket Languages: Online language learning courses,13.8455,0.1295,$92.76,$103.53,$20.12,2008-12-21
100,ENERG26,MY ENERGEIA BRAND NEW 2024 VSL $2.50+ EPC's,28.8543,0.1261,$154.08,$154.50,$1.21,2021-08-09
371,LEGENDPE,Legendary Enlargement - typical EPC above $2!!!,6.3368,0.1128,$73.83,$73.83,$0.00,2019-01-14
391,BEABADASS,The Tao Of Badass 2024 - Men's Dating Advice - (2.0 is coming...),5.4841,0.0918,$40.98,$212.88,$55.32,2010-10-20
290,STEELBITE,Steel Bite Pro,8.9006,0.0659,$125.76,$125.76,$0.00,2020-07-21
73,PROVADENT,ProvaDent - NEW Doctor Endorsed Dental Offer - $4+ EPC - NEW CONTEST!!,39.7835,0.0509,$160.76,$160.78,$43.62,2023-11-24
339,CLAYTONMAX,New High Converter for Women's Lists - Infatuation Scripts,7.2327,0.0431,$64.20,$120.98,$28.69,2017-03-26
88,SOLARSAFE,Solar Safe - ELECTRIFYING NEW Money-Making VSL Green Energy Offer!,32.5005,0.0194,$61.89,$61.89,$0.00,2023-10-17
32,KERASSENT,Kerassentials - Unique Fungus Dropper Offer,71.9535,0.0175,$112.12,$112.12,$0.00,2022-02-17
299,EYEFORTIN,Eye Fortin - Unique Dropper for Strong Eyesight,8.5570,-0.0073,$143.70,$143.70,$0.00,2023-01-11
409,HOWTOKISS,Weird Kissing Program Creates MASSIVE Conversions For Female Traffic,5.2150,-0.0187,$36.61,$79.27,$22.88,2017-05-03
318,BIENERGYCO,BioEnergy Code - $1.50+ EPCs - New Funnel May 2024 - Huge Profit,7.8503,-0.0452,$41.74,$101.24,$16.13,2020-09-16
259,MIDASMAN88,Midas Manifestation - INSANE New Angle Makes You Money,10.2905,-0.0651,$33.53,$58.89,$8.04,2020-11-17
34,HWTONIC,Red Boost - Male Health Supplement,69.4884,-0.0823,$122.67,$122.67,$0.00,2020-03-13
33,CLARITOX,Claritox Pro- Dizziness Niche,71.7660,-0.0840,$113.88,$113.88,$0.00,2021-05-18
94,CHRISTCODE,Christ Consciousness Code - *Hot* April 2024 Launch - Make $$$ Now!,30.8144,-0.0879,$39.72,$46.45,$42.35,2024-01-22
20,LEANBIOME,LeanBiome - BRAND NEW Weight Loss Offer!!,109.2624,-0.0947,$125.01,$128.04,$81.68,2022-02-03
401,SINNOVATOR,Solar Innovator – MASSIVE OFFER Will Shine Like a Diamond,5.3133,-0.0969,$56.23,$56.23,$0.00,2023-10-27
364,30MANIFEST,Manifestation 3.0 - H o t New Manifestation Offer For 2022!,6.5923,-0.1177,$55.26,$55.26,$51.36,2021-10-11
354,TYPE2FREE,Sonu's Diabetes Secret: New Offer Remarkably Hits On Any Health List!,6.7856,-0.1258,$48.46,$48.46,$0.00,2021-03-30
418,GLUCOFENCE,GlucoFence - Blood Sugar Support,5.0769,-0.1299,$111.89,$111.89,$0.00,2023-03-27
196,HONEYBURN,HoneyBurn - The First & Only Purple Weight Loss Honey,14.8520,-0.1482,$123.41,$123.41,$0.00,2023-03-15
192,HORMONALH1,Hormonal Harmony HB5,15.1032,-0.1691,$102.04,$102.04,$0.00,2020-07-28
221,EMPOWEREDH,The Kidney Disease Solution,12.1422,-0.1741,$52.22,$52.22,$0.00,2009-03-21
131,PINEALGRD,Pineal Guard - Third Eye Activation Supplement for 2024,22.8922,-0.1766,$123.63,$123.63,$0.00,2024-01-12
361,CHRLIV,Infinite Energy System - Mammoth Green Energy Offer !,6.6313,-0.1854,$67.83,$67.83,$0.00,2020-07-15
31,DANNYG,Ageless Knees,73.6508,-0.2002,$62.43,$62.43,$0.00,2008-12-21
421,TURBOINC,Totally Bangin Tan by Turbo Babe,5.0465,-0.2103,$77.93,$77.93,$0.00,2022-01-17
12,BALMOREX,Balmorex - Top Back & Joint Pain Cream Product,150.0284,-0.2115,$121.52,$121.52,$0.00,2023-09-11
413,DERMAPRIME,Derma Prime - #1 Blockbuster Skincare Offer,5.1676,-0.2153,$154.26,$154.26,$0.00,2021-04-01
408,BRANDHAF,HairFortin,5.2253,-0.2177,$139.96,$139.96,$0.00,2020-05-13
337,PURELUMINE,PureLumin Essence $4 EPC On Unique Natural Dark Spot Removing Serum,7.3529,-0.2230,$104.32,$104.32,$0.00,2023-11-09
400,RELIVERPRO,RELIVER- #1 Highest Converting Liver & Weight Loss Supplement!,5.3546,-0.2231,$146.59,$146.59,$0.00,2022-05-13
393,ACTIFLOW,ACTIFLOW - New #1 Prostate Monster,5.4095,-0.2254,$117.02,$117.02,$0.00,2023-02-27
392,FBRAINB,Fast Brain Booster,5.4705,-0.2280,$159.48,$159.48,$0.00,2023-05-03
129,D2FREE,Diabetes Freedom - 100% Commissions Available,23.1037,-0.2297,$84.98,$84.98,$0.00,2019-09-05
390,ZORACEL,Zoracel Dental Gummy,5.5475,-0.2312,$107.30,$107.30,$0.00,2023-06-20
389,SHRINKX,Shrink X - 85% Commission,5.5880,-0.2329,$94.69,$103.85,$12.57,2022-06-06
258,3DSOLARP,HOT NEW OFFER: Backyard Revolution - 10%+ Conversion Rates,10.2941,-0.2366,$46.03,$46.03,$0.00,2017-12-02
386,FOLIPRIME,FoliPrime - $4 EPC On Unique “Egyptian Hair Detox Balm”,5.6936,-0.2372,$110.26,$110.26,$0.00,2022-04-04
382,CLEANESTBD,Cleanest Body - The Next Big Thing In Detox & Weight Loss,5.7927,-0.2414,$135.51,$135.51,$0.00,2022-06-14
381,BRANDVIF,Vital Flow - Crushing Epcs And $642 Max Cart Value,5.8234,-0.2426,$115.22,$115.22,$0.00,2020-04-10
403,MZHANG044,Acidaburn,5.2947,-0.2530,$111.97,$120.28,$13.58,2016-10-15
308,BIOFITSUPP,BIOFIT,8.1416,-0.2559,$138.34,$138.34,$58.78,2021-01-19
340,RECPROFIT,2024 - N E W - Recession Profit Secrets V2,7.2135,-0.2589,$59.58,$129.81,$23.65,2020-08-04
368,DENTATONIC,DentaTonic: Unique “Dental Filtration” Solution,6.3768,-0.2657,$135.05,$135.05,$0.00,2023-10-12
238,EASYCELLAR,Easy Cellar - Brand New,11.0293,-0.2672,$47.56,$47.56,$0.00,2017-11-17
273,THE7ENERGY,2022 Brand New - The 7 Magic Energy Experiments!,9.5904,-0.2751,$48.95,$58.30,$10.80,2021-05-27
362,RESTOLIN,Restolin - #1 Hair Support Supplement On CB,6.6201,-0.2758,$121.46,$121.46,$0.00,2021-05-03
355,LOLUST,Language of Lu$t - VSL by 9- figure copywriter!,6.7829,-0.2826,$45.15,$45.15,$0.00,2015-06-15
353,SLVSPARROW,Phytocet - Nano Technology Pain Relief offer,6.8164,-0.2840,$104.70,$104.70,$0.00,2022-01-27
351,GOGUT,"Gut Go: New Commissions Beast, A Rising Supplement in Chronic Health",6.8697,-0.2863,$104.00,$104.00,$0.00,2022-08-19
376,PURADROPS,Ikaria Gummies | Puradrop | NEW 2024 Supplement Offer!,6.1230,-0.2876,$110.02,$144.55,$50.52,2022-06-16
397,NEUROTEST,NeuroTest,5.3859,-0.2892,$130.86,$130.86,$0.00,2024-02-15
348,LIEBE17,100% commissions available: The Woman Men Adore,6.9486,-0.2895,$39.10,$153.80,$11.27,2008-12-21
342,NPOUNDER95,Biotox Gold 2.0 - 2021 Relaunch + 80% Commission,7.1319,-0.2972,$82.51,$82.51,$0.00,2020-05-26
341,33WEALTH,Genetic Wealth Code - July 2023 Wealth Manifestation - Huge ROI,7.2071,-0.3003,$50.37,$50.37,$0.00,2023-06-22
363,INDIVIDUA1,Soul Flame Reading - High Converting for Spirituality Audiences,6.6006,-0.3074,$36.37,$98.55,$31.76,2017-03-18
329,YOURSLEEP,Breathing for Sleep,7.5276,-0.3136,$59.10,$59.10,$0.00,2024-02-12
298,AQUAPEACE,AquaPeace - $3 EPC On 100% Unique Deep Sea Formula,8.5587,-0.3149,$112.07,$112.07,$0.00,2023-05-05
345,SWAPPROFIT,The Crypto Code,7.0234,-0.3158,$828.05,$1154.86,$39.85,2021-05-25
325,AICODE99,Ancient Illuminati Code - Hot New Offer Insane Conversions!,7.6249,-0.3177,$45.84,$67.51,$48.31,2023-03-16
323,PRECMEDIA,The Fast Tracks - Top Converting HIGH TICKET On CB!,7.6416,-0.3184,$118.77,$264.66,$16.54,2019-09-10
319,HELIX40,Helix-4! Newly tweaked VSL for July 2023!,7.8128,-0.3255,$143.33,$143.33,$0.00,2021-07-07
343,SLIMGUARD,Slim Guard,7.1290,-0.3294,$86.82,$86.82,$0.00,2023-07-25
317,PROSTAS,Prostastream - Top Converting Offer On Native and Email,7.9212,-0.3300,$137.19,$137.19,$0.00,2020-10-22
309,GLUCONITE,Gluconite - Destroyer Blood Sugar Offer,8.1352,-0.3390,$150.51,$150.51,$0.00,2020-12-03
334,MBPC84,My Back Pain Coach: Huge Commissions in a Huge Market,7.4284,-0.3420,$63.59,$63.59,$16.26,2015-10-25
121,FBTONIC,Okinawa Flat Belly Tonic,24.3993,-0.3477,$128.15,$128.15,$0.00,2019-05-31
302,LEGACYLAB5,Nano-Ease Nano Technology Pain Relief Offer,8.3650,-0.3486,$110.26,$110.26,$0.00,2022-04-27
255,GLUCOPURE,Glucopure - New BS Offer From Creators of GlucoTrust $$$ New CONTEST!!,10.3615,-0.3501,$156.78,$156.78,$0.00,2023-11-27
38,ALPHATONIC,Alpha Tonic,65.3437,-0.3512,$131.13,$131.13,$0.00,2023-02-03
127,FASTLEANPR,Fast Lean Pro – Takes The Weight Loss Industry By Storm,23.2132,-0.3567,$138.53,$138.53,$0.00,2023-01-17
320,PROGENIFIX,Progenifix,7.8037,-0.3575,$146.94,$148.12,$42.90,2022-10-17
294,HALOFREQ,Halo Frequency - New Spiritual Offer That Converts!,8.6673,-0.3611,$54.55,$64.57,$80.17,2023-09-13
180,ALEXFVB,Female Vitality Protocol,16.8816,-0.3715,$76.30,$91.33,$41.85,2021-12-26
289,3STAMINA,3 Step Stamina - Huge E.p.c.s - E.D. program by real pornstar,8.9320,-0.3722,$45.72,$45.72,$0.00,2017-01-11
81,METACMPLX,Metanail Complex - New Top Nail Offer,37.8418,-0.3730,$132.13,$132.13,$0.00,2023-02-09
287,NEURORISE,"NeuroRise - Hearing, Brain, Memory",8.9885,-0.3745,$137.19,$137.19,$0.00,2023-04-07
236,MANIFMAGIC,2021 Updated Manifestation Magic v2.0 Mega Hit!,11.1210,-0.3757,$37.72,$52.26,$8.32,2018-03-14
242,METABOFLEX,Metabo Flex - Gigantic Payouts,10.9844,-0.3761,$147.14,$148.65,$23.10,2023-01-20
305,ABDOMAX,ABDOMAX - Killer New Gut Offer,8.2622,-0.3766,$85.46,$85.46,$0.00,2023-01-05
173,XITOX,"Xitox Footpads- brand new monster offer, insane payout!",17.4752,-0.3818,$67.57,$67.57,$0.00,2023-04-18
253,SONOFIT,SonoFit - Experts Call This “The First Eardrum Bandage” On ClickBank,10.4319,-0.3930,$139.29,$139.29,$0.00,2022-10-18
157,CLUBHOUSEX,Men's Health offer with REAL AUTHORITY and HUGE CONVERSIONS,20.1556,-0.3930,$60.21,$72.26,$46.10,2023-10-18
267,FLEXAFEN,Flexafen - crazy payout & breakthrough offer for joint & pain relief,10.0878,-0.4203,$76.90,$76.90,$0.00,2023-07-11
266,LOSTWAYS,The Lost Ways,10.0924,-0.4206,$38.04,$52.92,$53.84,2015-12-12
277,WGENIX,WealthGenix – First of its kind: Wealth Manifestation in Physical,9.4833,-0.4276,$146.17,$146.52,$11.94,2024-01-29
251,METABOFIX,MetaboFix,10.5534,-0.4305,$95.76,$111.00,$19.45,2021-04-14
194,TESTOGREEN,TestoGreens - The HOTTEST Men's Supplement Offer Of 2022!,14.9952,-0.4325,$60.78,$60.78,$0.00,2022-03-07
231,KERAVITA,Keravita - The Only Toenail Fungus Offer on CB,11.4797,-0.4367,$129.70,$129.70,$0.00,2020-11-06
218,EASYPP,"Easy Power Plan -10%+ Conversion Rates, Epc$2.0 (view mobile)",12.4879,-0.4370,$57.06,$57.06,$0.00,2019-12-09
250,BURNB247,Burn Boost - NEW!!!,10.6025,-0.4418,$109.24,$109.24,$0.00,2021-12-28
247,GLUCOTRIM,GlucoTrim - Brand New Blood Sugar Offer for 2024!,10.7438,-0.4476,$85.83,$85.83,$0.00,2023-09-25
6,SUMATONIC,Sumatra Slim Belly Tonic,217.0131,-0.4492,$123.18,$131.46,$72.58,2023-09-18
268,BIOLEAN24,BioLean,10.0628,-0.4517,$116.54,$116.54,$0.00,2024-03-05
5,LIVPURE,Liv Pure,235.7129,-0.4629,$157.31,$158.52,$33.05,2023-03-28
228,REWRITEHIM,Relationship Rewrite - Ex Back Offer - Huge Conversions! - 90% Payout,11.6869,-0.4870,$50.70,$50.70,$0.00,2018-10-17
22,HISSECRET,His Secret Obsession -Incredible Conversions - 90% FRONT & BACK + CPA!,106.6080,-0.4920,$51.06,$59.42,$13.11,2016-11-22
226,LOTTERY90K,Lottery Maximizer - New 2024 Offer - Super Affs Make 10k a Day,11.8549,-0.4940,$51.47,$51.47,$0.00,2019-12-11
217,VIVASLIM,Viva Slim - #1 weight loss liquid drops,12.5404,-0.5226,$76.42,$76.42,$0.00,2021-04-05
74,ERECPRIME,ErecPrime - New Affiliate Contest!,39.6509,-0.5330,$114.56,$114.56,$0.00,2023-09-12
214,AWAKEN88,Awaken XT - Brand New Pineal Gland Supplement,12.9226,-0.5384,$107.52,$107.52,$0.00,2023-10-09
96,BOOKOFREN,Medicinal Garden Kit - BRAND NEW!,30.1070,-0.5724,$50.93,$50.93,$0.00,2019-05-28
179,SCIENCEGEN,iGenics - Hot New Vision Offer,16.8953,-0.5839,$138.07,$138.07,$0.00,2022-07-18
197,REVIVE,Revive Daily - New!,14.6816,-0.6118,$150.38,$156.59,$82.19,2022-07-01
205,WATERFS,Water Freedom System - Huge New Offer For 2022!,14.0454,-0.6177,$49.66,$49.66,$0.00,2018-12-05
191,PROMINDC,ProMind Complex - New #1 Brain Offer With $624 Cart Value,15.1162,-0.6299,$128.92,$128.92,$0.00,2020-08-31
190,JOINTRES,Joint Restore Gummies,15.3033,-0.6376,$137.77,$137.77,$0.00,2022-05-11
166,FLUXACTIVE,FLUXACTIVE - Unique 14-in-1 MEGA PROSTATE Offer,18.7679,-0.6619,$136.12,$136.12,$0.00,2022-04-22
183,AMYNORTH,The Devotion System - Make Men Obsess Over You,16.1477,-0.7052,$51.89,$55.07,$39.77,2016-09-06
178,GETTHEMAN,What Men Secretly Want - Cold Traffic To Cash - 90% Commissions!,16.9650,-0.7068,$39.71,$52.96,$9.64,2014-06-22
52,SYNOGUT,New Gut and Poop Winner - SynoGut,53.0652,-0.7277,$112.74,$112.74,$0.00,2021-07-07
50,MYSTERYSCH,Mystery School Code - Brand New Manifestation & L O A Offer Nov 2022,55.4551,-0.7638,$52.27,$52.27,$0.00,2022-06-06
161,EZBATTERY,New Battery Reconditioning Course! VSL conversions 9.7% & EPC $2.1!,19.4898,-0.7878,$49.60,$49.60,$0.00,2015-07-29
151,DIVINEINVO,Divine Invocation Code,20.6278,-0.8086,$53.16,$53.16,$0.00,2024-01-16
159,AMICLEAR,"AMICLEAR - Blood Sugar, Diet, Weight Loss,",19.8902,-0.8195,$138.55,$138.55,$0.00,2022-12-15
77,TEXTNECK,Forward Head Posture FIX,39.3224,-0.8319,$35.66,$45.20,$1.13,2016-02-17
155,ENDOPEAK,"EndoPeak - Male Health, ED, Testosterone",20.3177,-0.8373,$135.25,$135.25,$0.00,2023-06-27
156,ALPHASUPPS,Pure Neuro - Healthy Brain Support,20.2898,-0.8454,$137.94,$137.94,$0.00,2019-01-24
154,DENTITOX,Dentitox - Unique Dental Drops Offer,20.4208,-0.8509,$111.44,$111.44,$0.00,2021-05-04
107,LISTENBODY,Back Pain Breakthrough $1.70 avg epc,27.2579,-0.8602,$45.17,$45.17,$0.00,2017-12-29
139,PROSTABIO,ProstaBiome,21.6710,-0.8613,$125.27,$125.27,$0.00,2024-03-12
147,15DIALOGUE,"Divine Dialogue – Want a high EPC, produced by a CB Diamond Vendor?",21.0922,-0.8789,$58.65,$58.65,$0.00,2023-07-25
79,SSALT,"Spiritual Salt: Brand New Spirituality Offer, High-Conversion Machine",39.0645,-0.8793,$50.60,$50.68,$8.47,2022-09-16
144,MAKEHIMW,Make Him Worship You - Women's Relationship Monster,21.1732,-0.8822,$41.34,$46.26,$8.36,2019-03-20
83,MENORESCUE,MenoRescue,34.6893,-0.9099,$143.09,$168.66,$73.42,2022-09-23
23,LBJUICE,Ikaria Juice,101.3950,-0.9371,$140.00,$140.00,$0.00,2021-10-18
62,BTLIFE,Back to Life,44.8186,-0.9673,$51.30,$52.10,$2.92,2017-01-04
103,PAINFIX,NEW Unlock Your Hip Flexors VSL with Therapy Tool,27.9912,-0.9740,$42.80,$323.81,$13.02,2014-08-09
46,GLUCOTRUST,GlucoTrust - NEW CONTEST ALERT! Details in the affiliate page..,58.0242,-1.0247,$137.92,$137.92,$0.00,2021-09-13
118,ARCTICB,ArcticBlast - #1 OTC topical pain relief drops has arrived!!,24.9605,-1.0631,$100.60,$100.60,$0.00,2022-04-26
109,BIOPTIMIZE,"BIOptimizers Health Offers (Magnesium Breakthrough, MassZymes)",26.5321,-1.0639,$76.82,$76.82,$41.67,2016-05-11
112,AMBSADOR,John Thornhills Ambassador Program - Updated For 2024,26.1756,-1.0906,$205.90,$426.22,$25.62,2019-06-21
82,ILLUDERMA,IlluDerma - $4 EPC On Unique Dark Spots Serum,35.7624,-1.1089,$123.01,$123.01,$0.00,2023-11-22
95,BZPRL,Bazopril,30.7025,-1.1916,$117.95,$117.95,$0.00,2023-05-01
